Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year
Signs,Five Man Electrical Band,3:54,4,0.794,0.735,0,-4.204,1,0.054,0.108,0.00578,0.112,0.223,107.374,63,1971
Rose Garden,Lynn Anderson,2:55,4,0.589,0.501,0,-11.665,1,0.031,0.168,0,0.0741,0.969,131.064,63,1971
Just My Imagination (RUNNING Away With Me),The Temptations,3:48,4,0.425,0.242,0,-15.424,1,0.0267,0.88,0.0118,0.195,0.477,92.472,63,1971
Mr. Big Stuff,Jean Knight,2:44,4,0.886,0.491,8,-12.589,1,0.171,0.29,0.00000246,0.229,0.971,93.236,62,1971
Rainy Days And Mondays,The Carpenters,3:38,4,0.351,0.235,10,-11.513,1,0.0323,0.852,0,0.0688,0.218,74.72,62,1971
No Matter What,Badfinger,3:00,4,0.529,0.743,9,-5.523,1,0.0481,0.177,0,0.0759,0.78,116.817,59,1971
The Night They Drove Old Dixie Down,Joan Baez,3:31,4,0.505,0.486,0,-9.272,1,0.0336,0.545,0,0.222,0.484,125.839,59,1971
I Am…I Said,Neil Diamond,3:33,4,0.247,0.376,10,-14.409,1,0.0272,0.14,0.00000497,0.109,0.514,90.365,59,1971
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,4:55,4,0.371,0.507,7,-9.805,1,0.0325,0.58,0.0201,0.175,0.535,91.786,59,1971
Sweet City Woman,The Stampeders,3:27,4,0.696,0.736,7,-7.283,1,0.048,0.255,0,0.117,0.917,88.133,59,1971
For All We Know,The Carpenters,2:38,4,0.307,0.237,7,-13.437,1,0.0304,0.879,0.0000165,0.0871,0.194,135.6,58,1971
Whatcha See Is Whatcha Get,The Dramatics,3:34,4,0.641,0.74,6,-8.425,1,0.118,0.249,0,0.281,0.914,152.939,58,1971
Liar,Three Dog Night,3:11,4,0.436,0.946,8,-4.755,0,0.103,0.00121,0,0.215,0.603,93.544,58,1971
Knock Three Times,Tony Orlando and Dawn,2:56,4,0.774,0.58,1,-10.08,1,0.0512,0.158,0,0.0458,0.923,123.127,57,1971
(WHERE Do I Begin?) Love Story,Andy Williams,3:17,4,0.41,0.427,2,-9.695,1,0.0374,0.618,0.00000208,0.067,0.557,95.193,56,1971
Lonely Days,Bee Gees,3:43,4,0.733,0.594,5,-6.609,1,0.0394,0.0845,0,0.112,0.667,84.847,56,1971
"Gypsys, Tramps & Thieves",Cher,2:38,4,0.476,0.677,0,-11.175,1,0.0365,0.211,0,0.0601,0.691,170.879,56,1971
Theme From Shaft,Isaac Hayes,4:39,4,0.487,0.716,9,-17.689,0,0.0463,0.233,0.00445,0.113,0.819,120.795,56,1971
You’ve Got A Friend,James Taylor,4:15,4,0.765,0.317,11,-11.881,0,0.0274,0.88,0.00000235,0.126,0.524,108.04,55,1971
Me And You And A Dog Named Boo,Lobo,2:57,4,0.628,0.603,6,-10.286,1,0.0312,0.178,0.0000173,0.0686,0.951,120.782,55,1971
The Tears Of A Clown,Smokey Robinson & the Miracles,3:01,4,0.593,0.607,1,-9.886,1,0.0283,0.147,0,0.128,0.953,128.365,55,1971
Never Can Say Goodbye,The Jackson 5,2:59,4,0.527,0.821,2,-7.19,1,0.047,0.337,0.00000168,0.394,0.835,166.139,55,1971
Amos Moses,Jerry Reed,2:19,4,0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,105.541,54,1971
Spanish Harlem,Aretha Franklin,2:54,4,0.608,0.594,2,-11.86,1,0.0435,0.32,0.0000475,0.129,0.789,125.166,53,1971
Ain’t No Sunshine,Bill Withers,3:12,4,0.0942,0.995,2,-27.09,0,0.0514,0.315,0.97,0.957,0.00001,83.334,53,1971
Groove Me,King Floyd,3:03,4,0.908,0.421,11,-9.382,1,0.0648,0.26,0.00065,0.0805,0.861,102.977,53,1971
Help Me Make It Through The Night,Sammi Smith,4:08,4,0.459,0.396,7,-7.9,1,0.0241,0.733,0.00304,0.127,0.414,65.861,53,1971
Sooner Or Later,Grass Roots,3:38,4,0.493,0.843,5,-4.893,0,0.0482,0.0019,0.0086,0.0835,0.416,92.827,52,1971
Mr. Bojangles,Nitty Gritty Dirt Band,3:35,3,0.444,0.757,11,-6.884,0,0.0541,0.699,0,0.329,0.554,154.26,52,1971
Does Anybody Really Know What Time It Is,Chicago,3:22,4,0.564,0.455,0,-11.615,1,0.0369,0.645,0.00000305,0.0915,0.697,117.792,51,1971
Stick-Up,Honey Cone,3:42,4,0.31,0.932,11,-4.764,0,0.262,0.000261,0.00000371,0.349,0.304,135.944,51,1971
Yo-Yo,The Osmonds,2:53,4,0.597,0.642,11,-5.305,0,0.157,0.572,0.0000035,0.125,0.719,168.825,51,1971
Sweet Mary,Wadsworth Mansion,3:45,4,0.671,0.652,6,-7.86,0,0.0771,0.346,0.0000956,0.178,0.702,158.418,51,1971
Treat Her Like A Lady,Cornelius Brothers & Sister Rose,4:18,4,0.789,0.908,0,-8.123,1,0.0433,0.141,0.000037,0.189,0.909,113.205,50,1971
Stay Awhile,The Bells,4:00,4,0.582,0.622,5,-8.19,0,0.364,0.484,0.707,0.109,0.509,77.929,50,1971
Draggin’ The Line,Tommy James,2:44,4,0.669,0.583,1,-9.165,0,0.0689,0.0521,0.0000152,0.177,0.647,114.543,50,1971
Bring The Boys Home,Freda Payne,1:27,4,0.33,0.283,0,-15.971,1,0.061,0.575,0.0947,0.235,0.287,157.963,49,1971
Smiling Faces Sometimes,The Undisputed Truth,3:18,4,0.551,0.461,11,-11.778,1,0.0255,0.252,0.00000239,0.0541,0.739,105.155,49,1971
I Just Want To Celebrate,Rare Earth,3:37,4,0.446,0.929,9,-7.7,1,0.234,0.105,0.00000159,0.015,0.652,176.462,48,1971
Temptation Eyes,Grass Roots,2:39,4,0.555,0.869,3,-5.479,1,0.0278,0.0104,0.000156,0.108,0.84,134.892,47,1971
What’s Going On,Marvin Gaye,3:51,4,0.565,0.646,1,-4.908,1,0.0352,0.195,0,0.0937,0.654,145.966,47,1971
For The Good Times,Ray Price,6:27,3,0.522,0.289,7,-12.013,1,0.0783,0.545,0.0000962,0.136,0.584,171.497,47,1971
One Toke Over The Line,Brewer & Shipley,3:19,4,0.581,0.806,0,-8.158,1,0.0335,0.156,0.00000453,0.215,0.87,77.496,46,1971
Indian Reservation (THE Lament Of The Cherokee Reservation Indian),Paul Revere & the Raiders,2:51,4,0.639,0.385,2,-13.253,1,0.0759,0.284,0.00193,0.0873,0.209,131.714,45,1971
If I Were Your Woman,Gladys Knight & the Pips,3:14,4,0.472,0.492,6,-10.435,1,0.0583,0.711,0.107,0.679,0.555,74.09,44,1971
Do You Know What I Mean,Lee Michaels,3:13,4,0.788,0.861,0,-9.745,1,0.0623,0.158,0.0000135,0.0199,0.95,109.232,44,1971
One Less Bell To Answer,The 5th Dimension,3:30,3,0.398,0.405,11,-6.664,0,0.0258,0.737,0.0000497,0.131,0.443,99.694,43,1971
"When You’re Hot, You’re Hot",Jerry Reed,2:19,4,0.788,0.832,4,-10.783,1,0.0981,0.354,0,0.1,0.91,101.045,41,1971
Stoned Love,The Supremes,2:57,4,0.547,0.657,2,-6.86,1,0.0384,0.357,0.000449,0.0695,0.486,120.035,39,1971
I Hear You Knocking,Dave Edmunds,2:47,4,0.75,0.615,4,-8.956,1,0.0386,0.0233,0.000165,0.0847,0.979,103.353,38,1971
Never Ending Song Of Love,Delaney & Bonnie & Friends,3:20,4,0.669,0.533,0,-14.096,1,0.0273,0.261,0,0.156,0.847,92.273,38,1971
It Don’t Come Easy,Ringo Starr,3:28,4,0.632,0.591,10,-13.322,1,0.0502,0.395,0,0.0797,0.536,141.702,38,1971
Go Away Little Girl,Donny Osmond,2:30,4,0.302,0.521,7,-5.391,1,0.0354,0.72,0.00000474,0.123,0.364,101.814,36,1971
One Bad Apple,The Osmonds,2:44,4,0.6,0.567,0,-7.163,1,0.0398,0.382,0,0.213,0.92,101.041,36,1971
I Woke Up In Love This Morning,The Partridge Family,2:40,4,0.584,0.552,11,-12.36,0,0.0341,0.281,0,0.0842,0.71,137.587,36,1971
Stoney End,Barbra Streisand,2:57,4,0.504,0.656,0,-13.219,1,0.0466,0.0249,0.0000207,0.154,0.826,120.994,35,1971
Put Your Hand In The Hand,Ocean,2:56,4,0.833,0.475,9,-14.951,1,0.0403,0.0489,0.000104,0.0759,0.978,136.384,35,1971
Watching Scotty Grow,Bobby Goldsboro,2:37,4,0.506,0.401,2,-11.96,1,0.033,0.474,0.00191,0.358,0.567,90.259,32,1971
Want Ads,Honey Cone,2:46,4,0.65,0.812,1,-6.912,1,0.239,0.33,0.000131,0.0833,0.927,189.684,32,1971
I Don’t Know How To Love Him,Helen Reddy,3:40,4,0.408,0.417,2,-7.099,1,0.0269,0.259,0.0000011,0.154,0.34,71.334,31,1971
Somos Novios (IT’S Impossible),Perry Como,3:07,4,0.535,0.121,1,-16.361,1,0.0354,0.836,0.000298,0.12,0.234,82.477,29,1971
Doesn’t Somebody Want To Be Wanted,The Partridge Family,2:47,4,0.742,0.387,10,-13.822,1,0.0349,0.634,0,0.0424,0.878,113.045,29,1971
Chick-A-Boom (DON’T Ya Jes’ Love It),Daddy Dewdrop,2:51,4,0.781,0.732,0,-6.766,1,0.0505,0.0343,0,0.173,0.962,124.557,26,1971
Don’t Pull Your Love,"Hamilton, Joe Frank & Reynolds",3:22,3,0.567,0.575,11,-6.618,0,0.0255,0.678,0.0000233,0.0745,0.62,105.461,26,1971
Sweet And Innocent,Donny Osmond,3:02,4,0.762,0.786,0,-5.08,1,0.044,0.498,0.000201,0.141,0.969,125.524,25,1971
Mama’s Pearl,The Jackson 5,6:47,4,0.365,0.887,9,-9.936,1,0.452,0.0378,0.00332,0.432,0.426,155.164,23,1971
Don’t Knock My Love,Wilson Pickett,4:53,4,0.572,0.425,10,-16.738,1,0.0391,0.384,0.265,0.0817,0.88,113.264,13,1971
She’s Not Just Another Woman,8th Day,3:06,4,0.716,0.864,9,-4.782,0,0.192,0.257,0,0.0544,0.874,80.332,12,1971
Maggie May/Reason To Believe,Rod Stewart,5:50,4,0.566,0.585,2,-8.733,1,0.0362,0.721,0.517,0.0911,0.567,129.475,7,1971
I’ll Meet You Halfway,the Partridge Family,4:15,4,0.391,0.693,0,-7.56,1,0.0293,0.000854,0.0000019,0.104,0.39,103.065,6,1971
That’s The Way I’ve Always Heard It Should Be,Carly Simon,4:18,4,0.4,0.0897,0,-19.012,1,0.0288,0.938,0.000521,0.0847,0.24,70.387,1,1971
Have You Ever Seen The Rain / Hey Tonight,Creedence Clearwater Revival,2:38,4,0.735,0.556,0,-5.863,1,0.0276,0.117,0,0.0738,0.877,127.983,0,1971
I’ve Found Someone Of My Own,The Free Movement,3:34,3,0.676,0.334,7,-14.458,1,0.0526,0.803,0.479,0.158,0.776,112.225,0,1971
Rocket Man,Elton John,4:41,4,0.601,0.532,10,-9.119,1,0.0286,0.433,0.00000595,0.0925,0.342,136.576,82,1972
Down,THE LAZY RIVER,4:21,4,0.541,0.366,11,-10.412,1,0.0748,0.56,0.000001,0.0946,0.168,159.707,82,1972
Listen To The Music,the Doobie Brothers,3:47,4,0.645,0.598,1,-13.18,0,0.0334,0.221,0.00000353,0.0721,0.913,105.929,81,1972
